Município,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
LAURO MULLER,2253469.74,2546494.45,2904779.9,3112025.16,3807157.9,4896897.04,5687995.25,6372375.5,6600584.2,7192371.96,7751383.69,8281401.95,9333658.79
LEBON RÉGIS,712228.65,953623.8,1132496.35,1225370.33,1317902.48,1444506.79,1311706.07,1795274.68,2007476.42,2110499.3,2176467.71,2174189.17,2568621.59
LEOBERTO LEAL,69692.82,96749.2,95459.08,149617.82,144030.77,203287.59,201642.17,207541.63,232119.47,219876.05,253461.72,278112.6,453828.63
LINDÓIA DO SUL,533006.57,758277.36,943426.84,879378.16,1062136.74,1289720.86,1415652.46,1000885.76,657000.09,649787.16,703239.27,711985.44,649069.94
LONTRAS,1786562.89,2148811.87,2407841.96,2933070.38,3556835.43,3809898.54,4057987.34,4627820.45,5469766.74,5477257.45,5862959.29,6347916.65,7133035.42
LUIZ ALVES,3297623.62,4014299.72,4707577.41,5248291.01,5870240.12,6558658.78,7105009.08,7818891.93,8615761.13,8590558.88,9313219.01,9377106.88,11638256.55
LUZERNA,1142179.54,1423730.88,1766230.94,2083530.24,2432431.79,2861892.53,3175059.8,2981018.42,2933355.11,3301300.65,3295634.59,4136401.5,4882407.19
MACIEIRA,150559.12,145972.46,157181.24,95608.48,168086.99,209614.7,227133.39,277324.05,257173.03,305594.84,346143.99,305721.94,308071.16
MAFRA,7787505.67,8915046.85,9891912.75,11622285.52,13643507.95,14900315.38,15800579.12,17037844.73,20695271.67,21458035.98,21308273.68,21559099.92,25353131.35
MAJOR GERCINO,239029.01,267357.58,364040.42,348632.48,292776.68,443547.68,382933.05,404479.13,388868.31,406648.36,424353.02,361966.04,631468.1
MAJOR VIEIRA,266860.06,317944.04,359964.65,396927.29,470316.45,521081.75,497479.05,555556.53,701839.44,822144.54,1013887.92,1081076.53,1297016.56
MARACAJÁ,1187713.38,1199610.52,1321711.56,1615957.25,1823486.73,2053938.58,2385127.56,2429422.57,2629119.67,2727931.88,2668325.28,3038978.04,3520318.75
MARAVILHA,4748492.54,5853211.36,7214849.62,8418537.06,9724105.15,11444347.29,11945339.05,13270900.5,14936722.51,15618551.08,16622637.17,18422928.51,21689077.34
MAREMA,62310.53,69073.28,82819.02,89832.79,123256.95,162310.04,165958.16,170230.91,215819.81,188035.55,201311.97,174133.7,243360.25
MASSARANDUBA,4132207.59,5428475.17,5775021.88,6889076.22,7810043.47,8934444.95,9410426.95,9414155.81,9524936.71,9982037.23,10397842.5,10364762.63,11936221.63
MATOS COSTA,228307.7,277199.91,288283.8,315118.33,382021.25,392676.78,402725.82,410704.01,295563.56,265171.28,248725.88,241201.89,380448.87
MELEIRO,779722.7,935600.5,1212302.05,1316814.73,1431054.77,1609156.14,1704584.68,1752087.19,1909543.65,1931348.05,1987068.05,1884385.45,2270816.94
MIRIM DOCE,184676.79,252576.66,284621.2,353046.75,327750.39,463991.52,485351.85,499470.96,417188.11,471258.24,640140.45,680520.65,841350.59
MODELO,509358.42,600736.55,742091.61,814188.36,1129648.83,1276183.88,1151038.13,1282536.77,1227242.66,1199589.56,1336960.22,1359868.63,1588590.19
MONDAÍ,1527037.42,1841802.24,2259446.87,2742030.67,3254008.82,3133268.17,3191804.45,3491716.49,3980960.12,4195382.07,4368723.59,4805370.76,5448127.5
MONTE CARLO,1106508.65,1330890.22,1502819.92,1590107.95,1773911.39,1807525.19,2009535.9,2155818.58,2179010.48,2216672.86,2089261.59,2494671.61,2603385.65
MONTE CASTELO,423497.18,505072.9,571601.67,672181.54,767651.25,842086.44,867176.79,977527.53,1133159.02,1226977.24,1141540.29,1320716.27,1656934.34
MORRO DA FUMAÇA,5165800.02,6140223.35,9071901.51,8393689.81,9043211.55,10509124.96,11334666.77,11386515.71,11679535.72,11691306.86,11739914.04,12407711.02,14471880.99
MORRO GRANDE,859228.78,1470943.5,2125493.84,2134702.41,2231304.96,3087150.02,2861978.55,2323032.6,557608.9,462553.33,538893.59,498921.36,634878.06
NAVEGANTES,12850492.53,13796622.73,17791884.47,25621494.21,32458174.64,38775498.23,35463308,36219049.08,38738100.49,39166190.89,41664629.63,44290043.37,50924132.28
NOVA ERECHIM,528885.81,679196.43,808879.53,1009490.2,1118134,1367482.11,1516390.53,1653002.04,1715703.38,1780767.49,1925063.08,2185011.78,2368052.39
NOVA ITABERABA,293456.37,336255.53,396957.42,476752.89,603826.19,845502.72,816668.12,957353.76,993196.41,1039341.71,1038651.06,1081304.35,1259851.86
NOVA TRENTO,3076719.98,3827006.16,4600835.84,5401949.43,6731265.62,8147782.65,7879597.2,8173244.65,9094214.36,10322843.17,10867784.24,11098844.62,12909778.73
NOVA VENEZA,6485700.69,6684311.78,8150409.22,8094592.54,9222788,9572210.72,11687154.39,11877510.95,12640520.84,13392272.54,13651787.42,14597053,17101044.02
NOVO HORIZONTE,72114.27,71194.25,233169.81,96235.07,121768.08,141976.66,501223.48,218971.11,592783.42,264953.67,633108.35,723142.41,883014.45
ORLEANS,4758622.83,5783144.01,6967083.69,8483363.97,10116899.23,10890527.22,10861609.92,10658786.72,11728433.93,11478297.16,12818081.03,13477904.93,15392118.83
OTACÍLIO COSTA,4202204.06,6123142.15,7284709.87,8961632.04,8209691.22,8678522.02,9567843.62,9995423.3,9754841.27,10407054.65,11322044.11,11588280.29,14333920.32
OURO,490404.94,590252.52,683247.29,759506.72,849444.55,1032325.26,1129972.45,1119139.43,1245009.48,1286004.58,1520579.63,1592675.08,1943830.19
OURO VERDE,88956.26,102501.8,136149.01,119897.91,163284.01,194849.11,229416.95,244203.94,227822.62,246381.88,258132.3,279221.13,327876.55
PAIAL,32905.67,42587.63,41881.61,57419.91,74972.04,63888.65,77106.38,102225.09,124866.98,163198.37,192848.52,266081.19,386839.27
PAINEL,31074.23,72364.79,76534.1,62166.81,198336.56,229824.97,216705.55,337051.33,310190.18,309079.38,276523.24,392442.42,435702.37
PALHOÇA,21206057.35,27449838.85,33962299.51,40323091.35,46482953.08,54460851.1,58697717.22,62639093.55,67394914.68,76264853.26,78630922.28,82777729.8,106819477.07
PALMA SOLA,889420.31,1113828.61,1281976.69,1395497.24,1703763.21,1781550.77,1982210.95,2139216.99,2066598.22,2343048.72,2454303.52,2650325.45,2976860
PALMEIRA,330986.07,520366.03,593517.43,676823.66,834910.79,982275.73,1106875.22,972784.18,1086589.85,1024912.24,1067055.37,1242278.35,1521689.87
PALMITOS,1917229.98,2252039.8,2574138.95,3232892.2,3887351.13,4205853.62,4763781.92,6173724.22,6412772.93,7437999.35,7734135.41,8350862.54,10424707.5
PAPANDUVA,1374570.63,1745207.03,2058251.05,2577274.63,3675712.8,4055254.77,4380870.68,4636095.75,5172431.27,5577748.58,5246911.63,6113940.05,7603775.28
PARAÍSO,92286.31,121454.35,183156.43,377721.49,493363.62,363803.24,592622.2,717862.26,730654.56,831536.78,872362.23,940839.55,1220378.32
PASSO DE TORRES,671384.26,364836.47,400152.12,561271.07,664153.76,795259.38,947952.72,1108714.14,1271374.38,1303987.11,1325451.87,1451236.08,1817041.47
PASSOS MAIA,332584.57,376472.42,475196.13,545753.8,621511.33,793564.4,872218.25,954284.52,1001976.94,1128444.84,1166406.68,1187629.23,1477093.98
PAULO LOPES,1256772.27,1375521.47,1523020.74,1616974.55,1979181.06,2275203.47,2328851.45,2430322.04,2566048.6,2532009.58,2628638.03,2685109.44,3758350.97
PEDRAS GRANDES,426129.45,556625.53,761176.86,803617.96,756714.72,886208.35,968323.91,1369596.81,1462602.81,1573563.07,1556939.23,2023352.07,2692757.94
PENHA,3090695.87,4007238.85,4730747.14,5775487.57,7203429.6,7665182.02,8771090.41,9424600.23,10713916.7,11458102.58,11891492.55,11781825.65,15171314.96
PERITIBA,209412.97,271420.35,300872.74,327165.12,414101.49,475596.21,565204.97,632408.72,624180.92,710976.61,735584.95,776855.42,1061051.61
PESCARIA BRAVA,92471.37,92471.37,92471.37,92471.37,92471.37,278365.71,408011.31,345999.73,344687.5,492465.34,547636.03,638634.14,788658.53
PETROLÂNDIA,469605,561317.5,581790.93,667184.83,778538.81,876316.3,989472.06,1122614.19,1244398.07,1203662.47,1241868.58,1383427.65,1788717.21
PINHALZINHO,3459518.08,4452839.32,5290160.94,6482856.09,7856195.03,9321648.01,10596430.03,11322607.42,12277613.16,13196998.04,14021161.32,16252117.32,18511288.93
PINHEIRO PRETO,585727.91,630847.92,902391.8,1049139.42,1165159.58,1401912.21,1610766.11,1886708.57,2181466.16,2522060.14,2643171.08,3100208.97,3848251.25
PIRATUBA,944466.83,977662.47,1125406.44,1348154.78,1550229.22,1794071.3,1911673.44,2005880.13,2156665.27,2208122.27,2355546.24,1787754.79,2370449.68
PLANALTO ALEGRE,138931.26,183819.15,232662.89,257000.08,299709.63,329545.77,399758.79,488001.78,685004.31,714618.43,756190.82,800637.63,893209.02
POMERODE,14841172.52,17939005.48,20337829.2,22925578.29,26147837.09,28635781.14,29714663.43,31855973.57,34006928.89,35676491.63,34730018.77,35014907.1,42468528.07
PONTE ALTA,261566.94,314948.5,378194.58,407469.34,488249.37,540292.64,532095.16,531193.01,586680.47,676251.84,784257.04,728449.77,1042551.69
PONTE ALTA DO NORTE,318359.23,461805.76,564102.18,555996.85,632251.39,685061.84,808824.2,951980.59,1110955.41,1099309.7,1085414.37,1114865.97,1582439.89
PONTE SERRADA,1066311.92,1332077.76,1604278.72,1817151.25,2045681.18,2262180.74,2476155.43,2643090.3,2446913.98,2418392.23,2499764.43,2501944.27,3549504.1
PORTO BELO,2411069.77,2749579.49,3410449.3,4150475.3,5285807.52,6357329.44,6717352.63,6799298.99,8760655.34,10426179.24,10859110.15,11351733.08,15645213.49
PORTO UNIÃO,3129676.38,3411621,4005169.61,4914967.77,5442215.18,6356249.52,6612707.68,7011549.29,7599444.2,8325761.96,9182822.95,9837455.31,12045592.67
POUSO REDONDO,2467008.08,3147633.85,3843679.32,4624173.03,5486094.33,6553561.34,7043557.62,7592911.12,8083524.53,8364500.63,9176232.1,9543992.27,11551075.71
PRAIA GRANDE,660487.58,882526.26,1036560.86,1227151.03,1405297.69,1551270.56,1535842.07,1571666.89,1608064.55,1721910.97,1999771.54,1969233.83,2718485.18
PRESIDENTE CASTELLO BRANCO,33761,36983.73,48371.88,65236.36,79165.07,77978.6,118329.94,139682.35,144419.02,155762.21,207523.65,219330.59,267331.92
PRESIDENTE GETÚLIO,3750559.26,4457902.5,5166846.09,6281581.29,6966149.15,8222269.22,9048221.35,9755935.64,10210775.5,10974037.57,11745233.04,11773232.15,14338096.58
PRESIDENTE NEREU,72060.18,98089.14,96873.33,111111.9,139674.25,162961.66,196128.89,193792.98,202471.5,200267.29,251094.21,229354.77,298339.82
PRINCESA,103631.63,164467.57,229763.88,351702.2,414302.44,538811.03,597740.17,732264.76,867918.03,1005560.99,1011448.72,1131906.56,1495296.67
QUILOMBO,1695214.7,2094462.9,2635356.72,2912725.21,3279416.91,3718241.47,4066778.69,4301897.9,4817619.64,4607077.57,5007131.39,5828355.06,7072435.45
RANCHO QUEIMADO,193697.76,270671.05,350372.89,382340.82,415108.19,532105.44,660789.59,744735.53,823534.15,879133.49,946680.1,975835.56,1130089.05
RIO DAS ANTAS,677651.53,780549.53,883576.18,1033300.53,1129205.07,1219397.15,1260507.84,1432809.45,1386431.88,1313177.88,1327018.87,1470926.11,1666124.72
RIO DO CAMPO,499460.1,563626.72,683552.24,848918.47,1127000.88,1244783.77,1325036.19,1430284.05,1386894.63,1455168.4,1569256.81,1613819.15,2060607.74
RIO DO OESTE,657687.46,868456.12,1108818.11,1290670.61,1381896.24,1657005.49,1741287.4,1814192.28,1940023.11,1944549.37,2052586.67,1961424.71,2522904.13
RIO DO SUL,23137525.84,28553728.64,31765840.64,33962279.6,37267533.71,40340493,40927391.76,43177045.74,46270593.08,49015825.78,50420413.03,52690908.36,64879124.82
RIO DOS CEDROS,2374164.85,2799744.54,2999196.37,3282250.84,3711011.91,4408336.54,4822302.33,5065248.6,5091703.94,5752492.7,6334903.15,6907528.94,8252249.49
RIO FORTUNA,393147.32,531309.91,641454.34,755470.24,948866.06,1140253.55,1201742.9,1202262.46,1272716.01,1253280.19,1287536.23,1398741.97,1747465.31
RIO NEGRINHO,8850865.15,9571491.26,10480979.89,11700973.76,13238737.32,14616389.61,15831297.31,16559813.74,17427693.58,19417999,20563222.62,21397971.52,26153157.11
RIO RUFINO,34712.93,76963.17,120713.55,111189.58,129987.76,160562.55,147861.52,187623.55,320457.95,339787.48,322965.86,405185.74,384327.55
RIQUEZA,231311.88,277522.4,327317.86,405204.78,468218.98,506715.62,556922.63,604710.19,671048.83,657053.96,722805.66,924183.27,1025680.77
RODEIO,2773440.08,3067054.75,3523148.71,3792051.83,4486742.41,4573083.98,4550613.39,4901164.14,5061742.11,4798669.94,4944473.31,4626932.42,5634209.2
ROMELÂNDIA,95101.59,115611.38,133516.66,147206.08,236553.26,234263.26,221083.42,253865.06,350397.22,202699.6,194434.91,239059.56,276219.93
SALETE,1305740.3,1618452.25,1794999.61,2047973.12,2484186.65,3011307.13,2907125.54,3213539.83,3303781.37,3648718.59,3754933.72,3505839.23,4647497.56
SALTINHO,78591.91,121289.36,164098.4,173955.75,145939.08,225050.01,260884.27,303202.59,394666.2,437981.55,549411.73,558914.98,659401.2
SALTO VELOSO,1164350.14,1259552.47,1414137.78,1370991.11,1562170.62,2111929.63,2046536.43,2017598.96,2301045.74,2480886.05,2510313.4,3028844.24,3489509.85
SANGÃO,2623493.54,3176554.09,3823025.01,4301011.25,4803009.32,5132568.09,5316385.58,5547701.65,5843889.93,6328233.54,6695492.68,6818776.76,8726287.05
SANTA CECÍLIA,2907553.77,3613249.2,3785216.94,4235313.75,5028833.52,5190845.48,5690655.5,6224438.04,6628383.47,6968155.81,6952611.05,7228884.17,8416251.52
SANTA HELENA,127185.43,154580.75,177492.38,191993.47,232877.61,284699.24,342199.95,364975.52,434024.74,438607.24,512748.65,562273.74,825477.16
SANTA ROSA DE LIMA,65267.98,80702.02,138797.86,171635.8,199671.94,215948.85,259586.74,282628.29,253183.29,307855.24,288925.63,306018.15,411533.2
SANTA ROSA DO SUL,408038.94,564783.88,680752.35,838952.17,1013795.91,1082017.79,1143151.21,1172731.04,1060807.31,1180518.8,1299759.47,1335718.6,1594291.62
SANTA TEREZINHA,134841.19,177575,197777.07,232192.97,303858.76,338140.54,399465.07,458711.36,494855.18,549817.86,638145.03,761611.04,879676.91
SANTA TEREZINHA DO PROGRESSO,22514.57,32441.52,51004.11,76487.41,85675.37,113367.51,131909.78,148925.08,136392.08,164310.5,182962.48,196875.11,267486.32
SANTIAGO DO SUL,44370.68,61023.59,78700.04,105469.97,187370.54,156202.39,175099.72,179970.68,158537.63,171563.66,212260.46,280636.83,338530.38
SANTO AMARO DA IMPERATRIZ,3177290.32,3654403.5,4077881.54,4691916.18,5892716.57,6971937.32,7313657.01,7552826.7,7673930.73,8293838.73,8168704.87,9163214.64,11730044.26
SÃO BENTO DO SUL,24311964.45,28503918.84,31742511.42,36820541.63,42350737.65,47633576,48282518.12,50847280.44,51603191.82,55163789.78,56434566.19,61477925.94,71301570.57
SÃO BERNARDINO,46707.91,60550.34,95397.41,120381.77,120273.16,202234.3,253237.02,206000.3,327401.68,399878.81,433203.9,415234.66,497416.81
SÃO BONIFÁCIO,151657,163278.46,193918.02,203915.94,239864.35,273188.63,302472.34,339322.45,362488.7,388408.4,398722.88,429453.72,524389.18
SÃO CARLOS,1090494.45,1419176.31,1740516.72,2104266.53,2571422.87,2718546.44,3031688.5,3166784.44,3545602.7,3720854.96,4250008.77,4029138.83,4771538.25
SÃO CRISTOVÃO DO SUL,612636.46,765342.85,944820.64,1131719.23,1340664.15,1456089,1648689.5,2060156.13,2252193.86,2369092.52,2232502.69,2586492.72,2809008.85
SÃO DOMINGOS,1243235.04,1528351.54,1030435.69,1178310.16,1366917.53,1535659.97,1657490.63,1804594.51,1963707.9,1951035.86,2014042.15,2032481.78,2361979.71
SÃO FRANCISCO DO SUL,8619373.58,10935078.1,12708943.67,14071024.57,16748637.93,17926414.86,19776425.29,19532406.77,19711326.28,20833374.74,21988397.16,21722607.97,26453733.96
SÃO JOÃO BATISTA,7786654.3,8786162.46,9006024.82,10448630.52,12127849.62,12341473.92,12379847.68,13743593.94,14936280.14,15587150.82,12913294.42,12320544.51,17634129.46
SÃO JOÃO DO ITAPERIÚ,379897.16,454537.62,595707.4,760704.93,972120.73,1380039.89,1551543.92,1784474.71,2233533.02,2384697.1,2451127.05,2624151.41,3137632.54
SÃO JOÃO DO OESTE,436790.51,539626.67,679923.21,830316.53,983293.69,1210414.82,1414760.92,1560821.22,1764188.29,2213855.88,2587060.56,2963454.61,3395796.59
SÃO JOÃO DO SUL,177798.26,258363.05,293147.07,403123.13,884683.72,1140104.29,1184220.36,1247005.57,1288443.44,1280676.4,1255583.77,1231044.55,1647286.96
SÃO JOAQUIM,3512860.31,3888655.55,4128378.59,4754357.08,5290573.04,5986315.33,6419415.57,7150885.82,7854554.54,8114699.34,8134898.61,8252686.96,9938912.52
SÃO JOSÉ,65217720.31,75332443.67,90235947.47,113738453.63,138771874.95,149931109.67,164246642.9,168931448.15,181452431.56,181906419.43,191383651.13,200964972.72,250507557.05
SÃO JOSÉ DO CEDRO,1578436.4,1833541.27,2180688.47,2361791.14,2587977.79,2913662.93,3133143.22,3446025.4,3656454.91,4048340.47,3920912.59,3875612.78,4736261.18
SÃO JOSÉ DO CERRITO,199844.36,290265.05,318376.35,385363.4,449298.32,540367.06,571517.67,642045.38,722348.74,913918.54,959169.38,996108.47,1209879.49
SÃO LOURENÇO DO OESTE,6573317.93,7532890.69,8620911.97,10019019.77,11698319.21,13353148.91,14060169.55,16046777.06,16962182.83,20218739.48,21785621.72,21809083.49,24341660.31
SÃO LUDGERO,2902926.92,3710353.19,4273962.94,5275341.14,6096134.99,7245169.72,8259641.24,8432265.69,9313868.02,10045611.48,10572035.71,11641583.52,13438014.11
SÃO MARTINHO,294258.03,336393.27,397897.36,469138.44,550739.33,678966.59,781571.7,805638.39,912917.61,848173.35,891436.5,904172.21,1168664.6
SÃO MIGUEL DA BOA VISTA,24404.97,24823.25,25216.9,31293.06,49402.13,42323.02,48350.62,51879.95,56346.01,49586.06,55864.47,55784.56,93252.36
SÃO MIGUEL DO OESTE,7118520.71,8465072.02,10051716.27,11488496.91,13720454.64,16050626.14,17475502.49,19695605.65,21088420.07,22945812.17,24850125.61,26875555.97,30539551.18
SÃO PEDRO DE ALCÂNTARA,383378.5,475794.34,612783.44,691635.34,317296.65,420600.94,484651.11,562979.96,545695.95,459781.87,491831.24,522440.45,641016.82
SAUDADES,1937231.43,2365815.37,2653366.52,2844575.54,3993739.26,4569764.4,4847373.25,4747010.19,4893669.82,5463538.88,5242456.59,6484057.36,7297869.51
SCHROEDER,3825928.12,4658742.34,5554036.34,5770205.42,6503822.09,7662859.45,7548467.25,7545250.85,8212080.55,8305169.75,8834900.17,8906309.92,11670555.36
SEARA,4570628.86,5063423.7,5624441.24,6148419.19,6477637.85,7441091.09,9000521.74,9825999.13,10481268.9,10859331.63,12237826.49,13887712.59,16231579.4
SERRA ALTA,366132.64,463754.87,517310.33,604319.55,739062.36,795300.11,842350.31,880379.3,899469.89,950682.25,979714.36,1135259.72,1308252.89
SIDERÓPOLIS,3086472.99,3713728.66,4081545.26,4163094.79,4978091.11,5190758.77,5469486.87,5547236.15,5901542.85,6071408.5,7176713.44,7629236.7,8822247.92
SOMBRIO,3647271.81,4481147.8,5139096.61,6054806.06,6999162.76,7666808.06,8155455.1,9032389.16,9932778.89,10425272.94,10293181.85,9474321.1,11812103.52
SUL BRASIL,128663.65,143862.25,178948.11,237031.03,223912.86,251078.45,265441.13,259155.86,244613.55,256291.66,343030.54,372624.46,478758.94
TAIÓ,3402979.08,4205190.04,4954458.51,5698304.85,6203065.35,6992207.61,7749813.71,8491245.54,8886184.67,9407847.62,10293150.88,9964486.31,10963067.46
TANGARÁ,1670768.33,1915902.25,2270649.95,2490239.55,2800018.58,3256131.57,3546365.7,3701730.4,4014589.94,4327267.73,4384670.52,4521828.21,5312855.27
TIGRINHOS,11490.39,22435.84,32242.25,47405.42,54713.53,64842.02,72369.71,67742.11,97377.56,130946.26,161485.08,193806.63,445267.07
TIJUCAS,8413130.52,10425029.64,12006135.31,14529455,17899547.32,20756386.64,22612865.51,24221231.68,25299639.04,28854631.09,29610275.47,32433691.38,41717096.5
TIMBÉ DO SUL,243084.29,300566.93,348898.64,451593.68,525440.44,515802.76,508817.98,610782.64,818759.52,788726.19,751184.74,733930.61,744762.21
TIMBÓ,16670997.02,19827432.21,21049374.09,23875821.25,26827097.93,29101507.39,30362608.72,33046401.58,35221753.46,36911943.78,39987720.66,41092621.8,46995446.1
TIMBÓ GRANDE,435696.06,680651.57,1139879.69,902928.56,1477493.44,1650787.87,1739110.59,1878476.7,2130745.31,2206964.81,2163736.2,2308184.44,2518466.94
TRÊS BARRAS,4036319.95,5154042.28,6713557.84,7720504.09,8152259.84,10273393.88,10664348.46,11379322.63,12027558.91,12884001.88,14526771.39,14954475.44,16753383.71
TREVISO,1747759.49,2236695.36,2480367.47,2272402.62,3670714.2,4315020.98,4260267.21,4450925.94,4533581.31,5062038.12,4683713.63,5081096.63,5549146.55
TREZE DE MAIO,970380.67,1120265.1,1337722.96,1531577.25,1783484.71,1822585.17,1898196.35,2306644.7,2369872.17,2600883.76,2741618.16,2561686.18,3327644.97
TREZE TÍLIAS,1751411.49,2156462.37,2713323.04,3260616.27,4212924.47,5138365.2,6067845.7,6762679.03,7329436.42,8312754.86,8893382.66,9149168.71,9974448.14
TROMBUDO CENTRAL,1716243.33,2272664.12,2379362.37,2724413.38,3233183.68,3596729.73,3642260.25,3519574.06,3542788.33,3953759.7,4405327.66,4546554.17,5421202.38
TUBARÃO,25916165.47,30780180.08,34955740.18,40321336.71,46764256.89,50955514.93,53192032.7,54685887.86,58007517.87,59118829.24,62210680.37,59640179.57,78906825.94
TUNÁPOLIS,213762.96,247583.36,337926.27,386910.43,522366.44,619602.94,659022.77,731230.44,825286.93,884433.77,961482.28,1030929.63,1310600
TURVO,2925376.16,3373441.87,3977178.06,4816054.47,5412875.03,6470406.9,7175702.13,7288611.1,7541224.89,8431785.05,7666000.27,8162186.31,9846856.44
UNIÃO DO OESTE,104981.18,121601.62,141976.16,177542.3,178786.05,209369.53,198875.63,251291.09,244271.68,270699.88,288482.57,312351.7,451562.61
URUBICI,529076.94,636336.06,685457.35,785912.91,975084.2,1175810.13,1281781.53,1398457.14,1512029.69,1644778.33,1673130.07,1764582.54,2298683.88
URUPEMA,110998.85,123743.07,185468.86,172036.88,233810.7,256856.04,249114.32,291128.03,336241.24,327754.79,335473.88,484397.39,575285.63
URUSSANGA,4615798.92,6654782.47,7763488.46,8786735.68,10532053.57,11199752.54,11727613.71,12000748.42,11388253.22,13346916.58,13399060.99,15280584.89,17931515.15
VARGEÃO,495766.59,718388.21,714893.62,778142.58,1013145.25,1164459.97,1212497.23,1330282.48,1542073.51,1716565.56,1881244.97,1971453.71,2353257.14
VARGEM,112644.46,100421.88,110913.96,112036.77,196607.11,2183248.7,1984859.1,348669.45,293902.38,273464.34,327554.82,280826.23,2075870.82
VARGEM BONITA,1932596.87,2160629.68,2492952.71,2578419.31,2932095.26,3372143.15,3734200.31,3724386.43,3890812.52,4209131.69,4251963.28,4601436.68,5157046.51
VIDAL RAMOS,295829.18,539261.27,796673.32,874689.88,965478.8,1109994.46,1100176.49,1152776.72,1246096.49,1351628.51,1326747.7,1435753.5,1640984.81
VIDEIRA,17550638.74,19706029.47,21689059.46,23525393.82,26783429.48,29904379.05,32558559,33965084.78,35926013.12,39015442.09,41362404.75,44312474.29,47747195.14
VITOR MEIRELES,483511.12,606307.33,659976.26,827786.99,1024760.17,1156264.31,1235935.95,1333946.64,1406766.18,1364416.72,1490401.63,1391417.62,1588003.02
WITMARSUM,521716.63,677475.44,755527.79,967219.76,1212159.04,1532836.25,1600320.24,1790592.23,1888695.31,2069808.82,2206656.64,2156702.57,2496558.34
XANXERÊ,10318216.16,11536317.38,13186858.68,15277349.68,16303473.3,19312896.03,20965992.53,23321483.35,23903521.61,24733365.72,25516778.81,26379365.15,30563187.6
XAVANTINA,180319.04,223404.39,314145.94,293282.98,376485.36,455984.15,522347.86,538000.05,526671.15,479223.4,565453.7,343038.61,762886.75
XAXIM,5603692.21,6778227.43,7906581.45,7192216.13,9334057.69,12058124.65,13451102.95,14863316.52,16419971.57,17698568.85,19079055.11,20765663.52,23446931.1
ZORTÉA,103507.32,105464.19,103652.9,124856.47,147279.12,155165.35,179045.2,199117.11,245893.62,272943.49,276073.45,234291.32,326120.06
